City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
3,Cayenne,GF,78.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
11,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Det Udom,TH,75.02,broken clouds,14.906,105.0784,Chatsuda Resort
19,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
22,Rikitea,PF,76.55,overcast clouds,-23.1203,-134.9692,People ThankYou
27,Kapaa,US,80.58,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Vaini,TO,80.15,light rain,-21.2,-175.2,Keleti Beach Resort
30,Koumac,NC,80.8,overcast clouds,-20.5667,164.2833,Le Monitel
36,Fare,PF,80.46,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
39,Carnarvon,AU,78.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
45,Kihei,US,82.42,clear sky,20.785,-156.4656,Maui Sunset
50,Padang,ID,77.02,moderate rain,-0.9492,100.3543,Mercure Padang
51,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
52,Progreso,MX,78.91,clear sky,21.2833,-89.6667,Playa Linda Hotel
53,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
60,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
61,Puerto Ayora,EC,85.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Sulangan,PH,81.39,broken clouds,11.1373,123.7228,Maia's Beach Resort
72,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
74,Arraial Do Cabo,BR,78.66,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
75,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
77,Hilo,US,78.53,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
83,Meulaboh,ID,76.55,overcast clouds,4.1363,96.1285,Kost Pria
90,Bengkulu,ID,75.72,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
97,Mabaruma,GY,76.46,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
101,Boca Do Acre,BR,79.29,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
105,Noumea,NC,84.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
108,Isangel,VU,78.91,overcast clouds,-19.55,169.2667,Tanna Lodge
118,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
121,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
137,Vaitape,PF,80.64,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
139,Ballina,AU,75.38,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
145,Kalmunai,LK,76.33,scattered clouds,7.4167,81.8167,VS Villa
147,Hervey Bay,AU,79.03,few clouds,-25.2986,152.8535,Shelly Bay Resort
153,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
155,Nova Vicosa,BR,80.06,scattered clouds,-17.8919,-39.3719,Pousada Porto do Sol
156,Faanui,PF,80.6,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
158,Emerald,AU,78.94,broken clouds,-23.5333,148.1667,The Irish Village
166,Namatanai,PG,81.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
168,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
172,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
176,Katherine,AU,79.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
177,Guaruja,BR,78.87,light rain,-23.9931,-46.2564,Charme Hotel Guarujá
181,Byron Bay,AU,79.05,broken clouds,-28.65,153.6167,Backpackers Inn
189,Tabou,CI,79.79,scattered clouds,4.423,-7.3528,hotêl doufoulougou
194,Kirakira,SB,83.25,moderate rain,-10.4544,161.9205,SanBiz Lodge
196,Vila Velha,BR,80.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
197,Kavaratti,IN,81.23,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
201,Bacolod,PH,76.55,scattered clouds,10.6667,122.95,Planta Hotel & Residences
204,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
206,Kahului,US,82.42,clear sky,20.8947,-156.47,Maui Seaside Hotel
209,Flinders,AU,78.8,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
213,Pimentel,PE,77.29,clear sky,-6.8367,-79.9342,Casona Del Muelle
215,Hambantota,LK,75.54,clear sky,6.1241,81.1185,Bungalow 63
223,Natal,BR,84.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
226,Kavieng,PG,81.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
229,Bougouni,ML,79.3,clear sky,11.417,-7.479,Non Stop
231,Nelson Bay,AU,78.12,broken clouds,-32.7167,152.15,Mantra Nelson Bay
232,Maragogi,BR,79.79,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
250,Warri,NG,75.31,scattered clouds,5.5167,5.75,BON Hotel Delta
256,Dorado,PR,81.16,clear sky,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
261,Santa Maria,BR,81.7,few clouds,-29.6842,-53.8069,Hotel Morotin
262,Gizo,SB,83.66,overcast clouds,-8.103,156.8419,Imagination Island
266,Kiama,AU,79.0,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
278,Oranjestad,AW,80.55,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
281,Tamandare,BR,79.36,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
282,Jacarau,BR,77.49,few clouds,-6.6122,-35.2928,EmEIF senador rui carneiro
284,Bagotville,AU,75.22,scattered clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
286,Iralaya,HN,80.69,broken clouds,15.0,-83.2333,Iglesia morava renovada
289,Sibolga,ID,75.78,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
297,Caravelas,BR,79.61,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
298,Terra Santa,BR,77.67,overcast clouds,-2.1042,-56.4869,Hotel Sarah
305,Carauari,BR,79.07,overcast clouds,-4.8828,-66.8958,Hotel Fellip
309,Imbituba,BR,76.89,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
311,Kokopo,PG,79.36,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
320,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
325,Pekan,MY,75.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
330,Poum,NC,80.26,overcast clouds,-20.2333,164.0167,Gîte kajeon
333,Cabo San Lucas,MX,78.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
336,Vao,NC,79.07,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
341,Sawtell,AU,75.52,scattered clouds,-30.3833,153.1,The Bungalow Sawtell
348,General Roca,AR,83.62,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
350,Omboue,GA,78.71,overcast clouds,-1.5746,9.2618,Hotel Olako
355,Palembang,ID,77.09,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
358,Labuhan,ID,78.01,overcast clouds,-6.8844,112.2051,DoubleFAG
360,Khlung,TH,83.1,scattered clouds,12.4547,102.2214,Bai Phai Resort
361,Moerai,PF,80.13,few clouds,-22.4333,-151.3333,Le Manotel
365,Nibong Tebal,MY,81.95,scattered clouds,5.1659,100.4779,K Garden Hotel Parit Buntar
368,Pisco,PE,75.25,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
372,Atar,MR,79.79,overcast clouds,20.5169,-13.0499,Oumou Elghoura
376,Puerto Madero,MX,82.02,clear sky,14.7208,-92.4215,Hospedaje madero
389,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
394,San Ignacio,BZ,77.14,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
396,Taupo,NZ,76.24,broken clouds,-38.6833,176.0833,Lake Taupo Motor Inn
402,Sarh,TD,76.91,clear sky,9.1429,18.3923,Domicile 1sur le goudron
407,Broken Hill,AU,76.71,light rain,-31.95,141.4333,Royal Exchange Hotel
410,Tautira,PF,84.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
424,Pangai,TO,81.16,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
426,Mitsamiouli,KM,80.51,clear sky,-11.3847,43.2844,Foyer ADM
428,Canguaretama,BR,84.69,light rain,-6.38,-35.1289,Pousada do Italiano
430,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,Timotel Hotel
431,Acarau,BR,77.29,overcast clouds,-2.8856,-40.12,castelo pizzaria
435,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
442,Conde,BR,81.86,few clouds,-7.2597,-34.9075,Pousada Beija Flor
443,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
448,Touros,BR,83.3,few clouds,-5.1989,-35.4608,INN NEW HORIZON
453,Vanimo,PG,76.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
454,Madras,IN,77.97,mist,13.0878,80.2785,City home
458,Rio Grande,BR,80.71,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
462,Sabang,ID,81.39,overcast clouds,5.8933,95.3214,Hotel Citra
470,Les Cayes,HT,79.68,broken clouds,18.2,-73.75,Villa Orphee
477,Luganville,VU,79.54,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
479,Banda Aceh,ID,76.44,broken clouds,5.5577,95.3222,Sulthan Hotel International
480,Bima,ID,76.33,overcast clouds,-8.4667,118.7167,Lambitu Hotel
486,Katobu,ID,76.66,overcast clouds,-4.9408,122.5276,La Ode Husein
487,Tanete,ID,75.38,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
489,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
494,Maldonado,UY,82.22,clear sky,-34.6667,-54.9167,La Cimarrona
499,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,Hotel Fórum
505,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Guesthouse Samotina
508,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
509,Road Town,VG,80.64,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
512,Ternate,ID,79.47,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
513,Bissau,GW,78.91,broken clouds,11.8636,-15.5977,Hotel Ancar
515,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
517,Machali,CL,79.88,clear sky,-34.1833,-70.6667,Mining House
520,Sola,VU,81.27,overcast clouds,-13.8833,167.55,Leumerus Bungalows
522,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
525,Sao Jose Da Coroa Grande,BR,79.77,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
526,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
528,Ladario,BR,88.09,scattered clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
550,Dhidhdhoo,MV,81.27,scattered clouds,6.8833,73.1,Dhidhoo beach
556,Kayankulam,IN,75.07,clear sky,9.1833,76.5,Hotel Indraprastha
559,Mana,GF,77.13,broken clouds,5.6592,-53.7767,LE SAMANA
564,Anaimalai,IN,76.77,clear sky,10.5833,76.9333,Mullai Farms
568,Pedasi,PA,83.07,clear sky,7.5333,-80.0333,Selina Pedasi
572,Mamallapuram,IN,78.06,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
581,Funadhoo,MV,81.5,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
583,Palu,ID,75.34,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
586,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
593,Garissa,KE,78.04,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
597,Saint-Leu,RE,77.86,few clouds,-21.15,55.2833,La Caz Oceane
598,Puerto Escondido,MX,82.9,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
611,Tigre,AR,87.28,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
614,Sibu,MY,75.51,light rain,2.3,111.8167,RH HOTEL (4 Star)
616,Sinnamary,GF,76.39,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
619,Cairns,AU,83.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
622,Inongo,CD,77.14,overcast clouds,-1.95,18.2667,Hotel Du Lac
627,Oriximina,BR,76.96,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
629,Brazzaville,CG,82.71,overcast clouds,-4.2658,15.2832,Hotel Muesse
630,Acari,PE,76.05,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
632,Manokwari,ID,77.58,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
635,Makakilo City,US,77.68,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
637,Waingapu,ID,78.15,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
645,Mildura,AU,77.07,clear sky,-34.2,142.15,Mercure Hotel Mildura
654,Sorong,ID,81.57,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
659,Montevideo,UY,83.52,scattered clouds,-34.8335,-56.1674,KOLPING Hotel
668,Hohoe,GH,78.17,overcast clouds,7.1518,0.4736,Agumatsa Falls Lodge
682,Manggar,ID,77.77,broken clouds,-2.8833,108.2667,Guest Hotel
684,Bowen,AU,77.22,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
685,Gold Coast,AU,83.19,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
688,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
