City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Novomykolayivka,UA,2022-01-30 01:04:03,47.9781,35.9102,30.45,89,100,11.07
1,Mataura,NZ,2022-01-30 01:04:03,-46.1927,168.8643,56.73,99,100,2.64
2,Bambous Virieux,MU,2022-01-30 01:04:03,-20.3428,57.7575,76.21,75,100,12.46
3,Rikitea,PF,2022-01-30 00:59:34,-23.1203,-134.9692,76.98,71,100,8.48
4,Busselton,AU,2022-01-30 01:04:04,-33.65,115.3333,77.04,60,7,13.0
5,Puerto Ayora,EC,2022-01-30 01:04:04,-0.7393,-90.3518,73.96,82,34,6.33
6,Bluff,NZ,2022-01-30 01:04:05,-46.6,168.3333,59.32,87,100,7.52
7,Punta Arenas,CL,2022-01-30 01:00:41,-53.15,-70.9167,51.12,50,100,14.79
8,Kungurtug,RU,2022-01-30 01:04:05,50.5994,97.5228,-24.7,98,36,1.3
9,East London,ZA,2022-01-30 01:01:53,-33.0153,27.9116,69.33,85,3,6.15
10,Lagoa,PT,2022-01-30 01:04:06,39.05,-27.9833,58.14,73,8,15.23
11,Jatiroto,ID,2022-01-30 01:04:06,-7.8833,111.1167,78.66,83,100,3.04
12,Batticaloa,LK,2022-01-30 01:04:06,7.7102,81.6924,76.21,86,16,1.83
13,Hermanus,ZA,2022-01-30 01:04:07,-34.4187,19.2345,65.8,83,1,10.89
14,Caracuaro,MX,2022-01-30 01:04:07,19.0106,-101.1264,82.08,39,57,2.28
15,Chokurdakh,RU,2022-01-30 01:04:07,70.6333,147.9167,-12.35,87,98,1.36
16,Port Alfred,ZA,2022-01-30 01:04:08,-33.5906,26.891,68.45,87,11,8.03
17,Ushuaia,AR,2022-01-30 01:04:08,-54.8,-68.3,44.26,87,100,0.0
18,Bethel,US,2022-01-30 00:59:38,41.3712,-73.414,18.48,61,100,3.0
19,Tiksi,RU,2022-01-30 01:04:08,71.6872,128.8694,-9.56,98,51,4.34
20,Burnie,AU,2022-01-30 01:04:09,-41.0667,145.9167,69.94,67,21,6.11
21,Itarema,BR,2022-01-30 00:59:37,-2.9248,-39.9167,78.67,74,100,9.93
22,Georgetown,MY,2022-01-30 01:01:46,5.4112,100.3354,81.9,83,20,3.44
23,Jalingo,NG,2022-01-30 01:04:09,8.8833,11.3667,68.07,22,20,5.68
24,Japura,ID,2022-01-30 01:01:18,-0.3167,102.35,79.25,79,99,1.66
25,Nikolskoye,RU,2022-01-30 01:04:10,59.7035,30.7861,26.87,90,100,16.64
26,Gat,IL,2022-01-30 01:02:04,31.61,34.7642,49.41,100,0,1.81
