City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,2022-01-30 21:41:34,-21.3585,55.7679,78.39,82,46,11.36,scattered clouds
1,Kodiak,US,2022-01-30 21:40:13,57.79,-152.4072,26.11,68,0,12.66,clear sky
2,Busselton,AU,2022-01-30 21:40:14,-33.65,115.3333,63.09,64,90,18.16,overcast clouds
3,Cayenne,GF,2022-01-30 21:41:35,4.9333,-52.3333,78.84,88,75,1.99,broken clouds
4,Upernavik,GL,2022-01-30 21:41:30,72.7868,-56.1549,-3.71,87,100,6.26,overcast clouds
5,Khandyga,RU,2022-01-30 21:41:35,62.6667,135.6,-39.64,100,77,1.28,broken clouds
6,Mirabad,AF,2022-01-30 21:41:36,30.4362,61.8383,52.72,45,20,7.11,few clouds
7,Narsaq,GL,2022-01-30 21:37:12,60.9167,-46.05,23.22,72,100,17.52,snow
8,Orvieto,IT,2022-01-30 21:41:36,42.7195,12.1116,46.29,84,0,0.96,clear sky
9,Dalmau,IN,2022-01-30 21:41:36,26.0667,81.0333,53.01,64,0,1.1,clear sky
10,Jamestown,US,2022-01-30 21:38:28,42.097,-79.2353,20.52,44,100,4.61,overcast clouds
11,Hithadhoo,MV,2022-01-30 21:41:22,-0.6,73.0833,81.55,70,86,9.4,overcast clouds
12,Barrow,US,2022-01-30 21:41:37,71.2906,-156.7887,-7.58,71,100,9.22,light snow
13,Tlacotepec,MX,2022-01-30 21:41:38,20.0667,-97.8667,62.4,70,42,6.17,scattered clouds
14,Sisimiut,GL,2022-01-30 21:41:38,66.9395,-53.6735,4.46,82,100,17.2,overcast clouds
15,Nuevo Casas Grandes,MX,2022-01-30 21:41:38,30.4167,-107.9167,60.44,23,3,23.94,clear sky
16,New Norfolk,AU,2022-01-30 21:41:39,-42.7826,147.0587,66.76,77,4,2.37,clear sky
17,Chapais,CA,2022-01-30 21:41:39,49.7834,-74.8492,1.18,90,100,7.67,overcast clouds
18,Det Udom,TH,2022-01-30 21:41:39,14.906,105.0784,75.02,82,65,8.63,broken clouds
19,Butaritari,KI,2022-01-30 21:39:47,3.0707,172.7902,82.04,76,17,20.92,light rain
20,Mataura,NZ,2022-01-30 21:38:27,-46.1927,168.8643,67.48,68,48,0.47,scattered clouds
21,Ayagoz,KZ,2022-01-30 21:41:40,47.9714,80.4392,14.83,98,99,3.53,overcast clouds
22,Rikitea,PF,2022-01-30 21:41:40,-23.1203,-134.9692,76.55,69,100,4.16,overcast clouds
23,Ayan,RU,2022-01-30 21:41:41,56.45,138.1667,1.17,69,100,16.11,overcast clouds
24,Yellowknife,CA,2022-01-30 21:41:07,62.456,-114.3525,-6.59,90,100,1.01,light snow
25,Najran,SA,2022-01-30 21:41:41,17.4924,44.1277,61.45,30,15,1.81,few clouds
26,Clyde River,CA,2022-01-30 21:41:41,70.4692,-68.5914,-25.37,68,100,5.75,overcast clouds
27,Kapaa,US,2022-01-30 21:41:42,22.0752,-159.319,80.58,69,0,1.01,clear sky
28,Kaili,ID,2022-01-30 21:41:42,-3.4626,120.2147,67.5,73,100,3.6,overcast clouds
29,Vaini,TO,2022-01-30 21:41:42,-21.2,-175.2,80.15,77,100,12.71,light rain
30,Koumac,NC,2022-01-30 21:41:43,-20.5667,164.2833,80.8,73,98,4.74,overcast clouds
31,Salalah,OM,2022-01-30 21:39:41,17.0151,54.0924,69.89,73,0,3.44,clear sky
32,Ushuaia,AR,2022-01-30 21:38:24,-54.8,-68.3,47.86,61,75,33.38,broken clouds
33,Tasiilaq,GL,2022-01-30 21:41:43,65.6145,-37.6368,6.96,50,96,12.75,overcast clouds
34,Siirt,TR,2022-01-30 21:39:50,37.9326,41.9403,28.81,81,79,4.52,broken clouds
35,Dikson,RU,2022-01-30 21:38:34,73.5069,80.5464,-3.62,93,100,21.07,overcast clouds
36,Fare,PF,2022-01-30 21:41:44,-16.7,-151.0167,80.46,72,22,10.09,few clouds
37,Buta,CD,2022-01-30 21:41:44,2.7858,24.73,69.1,38,98,1.36,overcast clouds
38,Lasa,IT,2022-01-30 21:41:45,46.6166,10.7002,44.51,46,13,6.78,few clouds
39,Carnarvon,AU,2022-01-30 21:41:45,-24.8667,113.6333,78.87,73,57,16.11,broken clouds
40,Punta Arenas,CL,2022-01-30 21:41:45,-53.15,-70.9167,53.71,47,40,32.21,scattered clouds
41,Luderitz,NA,2022-01-30 21:41:14,-26.6481,15.1594,64.98,87,75,8.39,broken clouds
42,Lompoc,US,2022-01-30 21:41:46,34.6391,-120.4579,74.7,34,0,14.97,clear sky
43,Severo-Kurilsk,RU,2022-01-30 21:37:24,50.6789,156.125,27.75,95,100,11.05,snow
44,Miyako,JP,2022-01-30 21:42:46,39.6367,141.9525,24.6,63,84,6.96,broken clouds
45,Kihei,US,2022-01-30 21:42:46,20.785,-156.4656,82.42,58,0,14.97,clear sky
46,La Ronge,CA,2022-01-30 21:39:57,55.1001,-105.2842,12.45,79,100,8.05,overcast clouds
47,Thompson,CA,2022-01-30 21:42:47,55.7435,-97.8558,6.96,72,20,6.91,few clouds
48,Ponta Delgada,PT,2022-01-30 21:42:47,37.7333,-25.6667,59.72,77,40,19.57,scattered clouds
49,Finnsnes,NO,2022-01-30 21:42:47,69.2296,17.9811,22.96,93,91,3.4,light snow
50,Padang,ID,2022-01-30 21:42:42,-0.9492,100.3543,77.02,89,100,3.96,moderate rain
51,Georgetown,MY,2022-01-30 21:42:48,5.4112,100.3354,81.9,89,20,1.99,few clouds
52,Progreso,MX,2022-01-30 21:41:18,21.2833,-89.6667,78.91,54,1,12.26,clear sky
53,Atuona,PF,2022-01-30 21:42:34,-9.8,-139.0333,78.08,77,11,13.69,light rain
54,Atbasar,KZ,2022-01-30 21:42:49,51.8,68.3333,13.24,94,99,13.71,overcast clouds
55,Albany,US,2022-01-30 21:42:49,42.6001,-73.9662,19.35,40,11,5.01,few clouds
56,Madison,US,2022-01-30 21:42:49,34.7334,-86.5667,59.88,32,0,11.01,clear sky
57,Nanortalik,GL,2022-01-30 21:42:50,60.1432,-45.2371,16.25,88,100,21.97,snow
58,Hermanus,ZA,2022-01-30 21:39:38,-34.4187,19.2345,69.8,86,97,12.95,overcast clouds
59,Tazmalt,DZ,2022-01-30 21:42:50,36.3868,4.3989,48.7,47,0,4.18,clear sky
60,Bambous Virieux,MU,2022-01-30 21:38:20,-20.3428,57.7575,79.05,94,75,12.66,light rain
61,Puerto Ayora,EC,2022-01-30 21:39:20,-0.7393,-90.3518,85.96,73,100,8.79,overcast clouds
62,Benton Harbor,US,2022-01-30 21:38:20,42.1167,-86.4542,30.94,71,100,4.61,overcast clouds
63,Berezanka,UA,2022-01-30 21:42:51,46.8526,31.388,30.96,85,6,9.28,clear sky
64,Kharan,PK,2022-01-30 21:42:51,28.5833,65.4167,59.02,38,0,6.24,clear sky
65,Cape Town,ZA,2022-01-30 21:40:56,-33.9258,18.4232,68.11,79,0,4.0,clear sky
66,Esperance,AU,2022-01-30 21:42:51,-33.8667,121.9,64.24,78,45,13.06,scattered clouds
67,Tianpeng,CN,2022-01-30 21:42:52,30.9866,103.9393,36.07,79,86,3.18,overcast clouds
68,Bluff,NZ,2022-01-30 21:42:52,-46.6,168.3333,67.8,85,93,4.43,overcast clouds
69,Saskylakh,RU,2022-01-30 21:42:52,71.9167,114.0833,-19.66,100,99,2.37,overcast clouds
70,Sulangan,PH,2022-01-30 21:42:53,11.1373,123.7228,81.39,76,70,6.31,broken clouds
71,Lagoa,PT,2022-01-30 21:42:53,39.05,-27.9833,58.53,70,50,26.51,scattered clouds
72,Mahebourg,MU,2022-01-30 21:42:53,-20.4081,57.7,79.09,94,75,12.66,broken clouds
73,Tocopilla,CL,2022-01-30 21:42:54,-22.092,-70.1979,68.9,67,1,5.79,clear sky
74,Arraial Do Cabo,BR,2022-01-30 21:42:39,-22.9661,-42.0278,78.66,89,75,8.05,broken clouds
75,Souillac,MU,2022-01-30 21:42:54,-20.5167,57.5167,79.18,94,75,12.66,light rain
76,Batagay-Alyta,RU,2022-01-30 21:42:54,67.8006,130.4114,-21.98,95,70,2.55,broken clouds
77,Hilo,US,2022-01-30 21:40:18,19.7297,-155.09,78.53,54,20,9.22,few clouds
78,Marzuq,YE,2022-01-30 21:42:55,14.4,46.4667,60.44,82,4,5.53,clear sky
79,Cidreira,BR,2022-01-30 21:39:52,-30.1811,-50.2056,73.87,70,6,18.28,clear sky
